Date,CashBuy,SpotBuy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,CashSell,SpotSell,Forward-10Days-Sell,Forward-30Days,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days,Forward-150Days-Sell,Forward-180Days-Sell
20180201,28.845,29.145,29.131,29.103,29.047,29,28.94,28.875,28.807,29.387,29.245,29.235,29.216,29.161,29.111,29.059,29.003,28.946
20180202,28.865,29.165,29.152,29.126,29.073,29.025,28.965,28.9,28.83,29.407,29.265,29.256,29.237,29.187,29.138,29.082,29.025,28.971
20180205,28.945,29.245,29.232,29.205,29.153,29.102,29.041,28.975,28.907,29.487,29.345,29.336,29.318,29.266,29.215,29.161,29.103,29.05
20180206,29,29.3,29.287,29.26,29.208,29.155,29.095,29.029,28.96,29.542,29.4,29.39,29.371,29.318,29.267,29.212,29.155,29.1
20180207,28.9,29.2,29.186,29.159,29.106,29.051,28.985,28.923,28.856,29.442,29.3,29.29,29.27,29.217,29.164,29.104,29.05,28.993
20180208,29.005,29.305,29.291,29.263,29.207,29.148,29.088,29.02,28.949,29.547,29.405,29.395,29.374,29.32,29.261,29.208,29.15,29.091
20180209,29.025,29.325,29.31,29.28,29.227,29.169,29.106,29.041,28.967,29.567,29.425,29.415,29.394,29.34,29.28,29.226,29.167,29.113
20180212,29.035,29.335,29.32,29.291,29.234,29.181,29.118,29.05,28.984,29.577,29.435,29.424,29.403,29.346,29.294,29.238,29.185,29.13
20180213,28.99,29.29,29.276,29.247,29.19,29.138,29.073,29.009,28.942,29.532,29.39,29.379,29.357,29.301,29.249,29.197,29.14,29.083
20180214,28.965,29.265,29.25,29.221,29.167,29.114,29.05,28.983,28.917,29.507,29.365,29.354,29.332,29.281,29.228,29.168,29.115,29.063
20180221,28.84,29.14,29.125,29.094,29.038,28.985,28.915,28.847,28.779,29.382,29.24,29.228,29.205,29.152,29.097,29.039,28.986,28.933
20180222,28.92,29.22,29.204,29.173,29.118,29.055,28.988,28.925,28.854,29.462,29.32,29.308,29.285,29.229,29.168,29.117,29.06,28.999
20180223,28.945,29.245,29.229,29.196,29.14,29.081,29.022,28.952,28.879,29.487,29.345,29.333,29.309,29.255,29.196,29.142,29.08,29.023
20180226,28.875,29.175,29.157,29.122,29.069,29.011,29.044,28.88,28.803,29.417,29.275,29.263,29.238,29.185,29.126,29.068,29.011,28.948
20180227,28.845,29.145,29.128,29.093,29.04,28.977,28.913,28.847,28.769,29.387,29.245,29.232,29.207,29.156,29.09,29.034,28.977,28.913
