Date,CashBuy,SpotBuy,Forward-10DaysBuy,Forward-30DaysBuy,Forward-60DaysBuy,Forward-90DaysBuy,Forward-120DaysBuy,Forward-150DaysBuy,Forward-180DaysBuy,CashSell,SpotSell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
20180402,28.785,29.085,29.064,29.022,28.957,28.89,28.818,28.743,28.668,29.327,29.185,29.168,29.133,29.069,29.003,28.942,28.874,28.806
20180403,28.79,29.09,29.068,29.024,28.96,28.89,28.813,28.74,28.662,29.332,29.19,29.173,29.14,29.075,29.009,28.937,28.87,28.811
20180409,28.845,29.145,29.122,29.076,29.015,28.941,28.863,28.795,28.712,29.387,29.245,29.227,29.19,29.126,29.053,28.987,28.921,28.855
20180410,28.835,29.135,29.113,29.068,29.009,28.933,28.86,28.785,28.702,29.377,29.235,29.217,29.18,29.12,29.047,28.976,28.915,28.848
20180411,28.845,29.145,29.124,29.082,29.021,28.945,28.874,28.798,28.717,29.387,29.245,29.228,29.193,29.132,29.057,28.992,28.924,28.859
20180412,28.905,29.205,29.186,29.147,29.078,29.008,28.936,28.861,28.787,29.447,29.305,29.289,29.258,29.193,29.125,29.06,28.993,28.926
20180413,28.94,29.24,29.221,29.182,29.117,29.048,28.973,28.9,28.822,29.482,29.34,29.325,29.295,29.231,29.161,29.097,29.03,28.963
20180416,29.06,29.36,29.34,29.301,29.239,29.161,29.085,29.012,28.934,29.602,29.46,29.444,29.412,29.35,29.275,29.207,29.141,29.073
20180417,29.005,29.305,29.284,29.243,29.183,29.104,29.026,28.95,28.877,29.547,29.405,29.388,29.355,29.297,29.217,29.146,29.08,29.014
20180418,29.005,29.305,29.284,29.243,29.184,29.102,29.025,28.95,28.871,29.547,29.405,29.388,29.355,29.296,29.215,29.147,29.079,29.01
20180419,28.99,29.29,29.271,29.233,29.167,29.091,29.016,28.934,28.858,29.532,29.39,29.375,29.344,29.279,29.202,29.133,29.06,29.001
20180420,29.055,29.355,29.335,29.296,29.235,29.155,29.078,29.002,28.925,29.597,29.455,29.439,29.408,29.347,29.266,29.202,29.127,29.065
20180423,29.175,29.475,29.455,29.414,29.353,29.273,29.193,29.12,29.042,29.717,29.575,29.56,29.53,29.468,29.385,29.312,29.248,29.188
20180424,29.26,29.56,29.538,29.495,29.435,29.355,29.268,29.195,29.117,29.802,29.66,29.643,29.61,29.553,29.471,29.397,29.325,29.268
20180425,29.3,29.6,29.579,29.536,29.477,29.395,29.315,29.24,29.156,29.842,29.7,29.683,29.649,29.592,29.509,29.442,29.37,29.295
20180426,29.355,29.655,29.633,29.59,29.53,29.451,29.371,29.297,29.211,29.897,29.755,29.738,29.705,29.649,29.564,29.495,29.43,29.353
20180427,29.27,29.57,29.547,29.5,29.438,29.362,29.28,29.204,29.119,29.812,29.67,29.653,29.618,29.55,29.48,29.405,29.335,29.268
20180430,29.255,29.555,29.532,29.487,29.42,29.345,29.263,29.19,29.097,29.797,29.655,29.637,29.602,29.535,29.465,29.387,29.32,29.248
