Date,CashBuy,SpotBuy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,CashSell,SpotSell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
20180502,29.385,29.685,29.663,29.619,29.55,29.476,29.401,29.32,29.227,29.927,29.785,29.768,29.735,29.663,29.59,29.52,29.445,29.378
20180503,29.375,29.675,29.654,29.611,29.538,29.472,29.396,29.311,29.232,29.917,29.775,29.759,29.726,29.655,29.59,29.517,29.435,29.375
20180504,29.355,29.655,29.635,29.594,29.523,29.456,29.374,29.298,29.215,29.897,29.755,29.739,29.707,29.636,29.569,29.498,29.428,29.36
20180507,29.405,29.705,29.684,29.641,29.574,29.508,29.428,29.352,29.267,29.947,29.805,29.788,29.755,29.687,29.62,29.549,29.48,29.418
20180508,29.43,29.73,29.709,29.667,29.597,29.528,29.451,29.37,29.282,29.972,29.83,29.813,29.778,29.709,29.64,29.571,29.498,29.425
20180509,29.575,29.875,29.854,29.811,29.737,29.662,29.588,29.509,29.422,30.117,29.975,29.958,29.924,29.851,29.78,29.712,29.635,29.564
20180510,29.51,29.81,29.789,29.747,29.665,29.6,29.525,29.44,29.36,30.052,29.91,29.893,29.859,29.785,29.717,29.649,29.57,29.503
20180511,29.41,29.71,29.689,29.646,29.568,29.498,29.418,29.34,29.257,29.952,29.81,29.793,29.759,29.681,29.614,29.542,29.475,29.403
20180514,29.38,29.68,29.656,29.609,29.534,29.457,29.378,29.3,29.219,29.922,29.78,29.76,29.721,29.647,29.57,29.499,29.394,29.363
20180515,29.5,29.8,29.776,29.729,29.652,29.575,29.496,29.415,29.331,30.042,29.9,29.881,29.842,29.765,29.689,29.62,29.55,29.478
20180516,29.525,29.825,29.802,29.757,29.674,29.598,29.521,29.442,29.357,30.067,29.925,29.907,29.87,29.789,29.712,29.641,29.57,29.498
20180517,29.545,29.845,29.821,29.773,29.694,29.617,29.535,29.453,29.372,30.087,29.945,29.926,29.888,29.805,29.734,29.664,29.593,29.523
20180518,29.555,29.855,29.834,29.792,29.705,29.633,29.55,29.479,29.388,30.097,29.955,29.938,29.904,29.82,29.747,29.669,29.603,29.532
20180521,29.635,29.935,29.912,29.865,29.784,29.707,29.623,29.547,29.464,30.177,30.035,30.016,29.978,29.898,29.82,29.742,29.675,29.603
20180522,29.55,29.85,29.827,29.781,29.694,29.615,29.531,29.446,29.362,30.092,29.95,29.931,29.894,29.805,29.727,29.652,29.577,29.503
20180523,29.61,29.91,29.887,29.842,29.75,29.663,29.583,29.5,29.409,30.152,30.01,29.991,29.954,29.862,29.779,29.709,29.632,29.553
20180524,29.57,29.87,29.85,29.809,29.72,29.64,29.558,29.475,29.392,30.112,29.97,29.953,29.92,29.832,29.755,29.686,29.615,29.538
20180525,29.595,29.895,29.874,29.833,29.745,29.667,29.59,29.505,29.416,30.137,29.995,29.979,29.946,29.86,29.781,29.711,29.64,29.568
20180528,29.58,29.88,29.86,29.82,29.732,29.654,29.58,29.495,29.407,30.122,29.98,29.964,29.932,29.849,29.766,29.7,29.625,29.558
20180529,29.63,29.93,29.911,29.872,29.781,29.7,29.628,29.536,29.452,30.172,30.03,30.015,29.984,29.896,29.817,29.751,29.675,29.608
20180530,29.68,29.98,29.955,29.906,29.83,29.74,29.66,29.58,29.502,30.222,30.08,30.059,30.018,29.944,29.865,29.795,29.725,29.658
20180531,29.6,29.9,29.875,29.826,29.745,29.672,29.595,29.512,29.429,30.142,30,29.979,29.937,29.863,29.79,29.722,29.642,29.578
