Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2018-08-01,30.18,30.55,30.53,30.491,30.434,30.363000000000003,30.298000000000002,30.215,30.114,30.87,30.65,30.635,30.604,30.546999999999997,30.479,30.421999999999997,30.345,30.26
2018-08-02,30.25,30.62,30.6,30.561,30.494,30.432,30.365,30.278000000000002,30.184,30.94,30.72,30.704,30.671999999999997,30.605999999999998,30.545,30.484,30.399,30.326
2018-08-03,30.28,30.65,30.63,30.59,30.524,30.462,30.395,30.302,30.214000000000002,30.97,30.75,30.735,30.704,30.639,30.576,30.515,30.44,30.362
2018-08-06,30.205,30.575,30.554000000000002,30.511999999999997,30.451999999999998,30.388,30.318,30.229,30.141,30.895,30.675,30.659000000000002,30.627,30.564,30.500999999999998,30.44,30.364,30.288
2018-08-07,30.19,30.56,30.54,30.5,30.439,30.371,30.302,30.217,30.127,30.88,30.66,30.644000000000002,30.612,30.551,30.484,30.419,30.342,30.271
2018-08-08,30.195,30.565,30.545,30.504,30.438000000000002,30.365,30.303,30.218000000000004,30.13,30.885,30.665,30.65,30.619,30.554000000000002,30.483,30.427,30.345,30.272
2018-08-09,30.2,30.57,30.55,30.509,30.44,30.373,30.294,30.215,30.136,30.89,30.67,30.654,30.623,30.557,30.491999999999997,30.421,30.35,30.278000000000002
2018-08-10,30.28,30.65,30.63,30.590999999999998,30.523000000000003,30.456999999999997,30.385,30.299,30.217,30.97,30.75,30.734,30.701,30.635,30.568,30.503,30.425,30.358
2018-08-13,30.39,30.76,30.739,30.698,30.636,30.566999999999997,30.488000000000003,30.41,30.331,31.08,30.86,30.843000000000004,30.809,30.749000000000002,30.679000000000002,30.608,30.537,30.469
2018-08-14,30.385,30.755,30.735,30.694000000000003,30.631,30.563000000000002,30.49,30.405,30.318,31.075,30.855,30.838,30.805,30.743000000000002,30.674,30.61,30.531,30.46
2018-08-15,30.43,30.8,30.781,30.741999999999997,30.679000000000002,30.605,30.541999999999998,30.456,30.371,31.12,30.9,30.884,30.853,30.789,30.718000000000004,30.659000000000002,30.581999999999997,30.51
2018-08-16,30.425,30.795,30.775,30.736,30.671999999999997,30.607,30.538,30.45,30.371,31.115,30.895,30.879,30.848000000000003,30.785,30.719,30.662,30.583000000000002,30.513
2018-08-17,30.375,30.745,30.725,30.686,30.623,30.553,30.483,30.39,30.319000000000003,31.065,30.845,30.829,30.796999999999997,30.734,30.666,30.607,30.525,30.456999999999997
2018-08-20,30.34,30.71,30.688000000000002,30.645,30.587,30.515,30.445,30.36,30.28,31.03,30.81,30.793000000000003,30.759,30.701,30.631999999999998,30.566999999999997,30.49,30.428
2018-08-21,30.3,30.67,30.649,30.605999999999998,30.546,30.478,30.406,30.32,30.237,30.99,30.77,30.752,30.717,30.656999999999996,30.589000000000002,30.526999999999997,30.445999999999998,30.375999999999998
2018-08-22,30.305,30.675,30.653000000000002,30.61,30.548000000000002,30.475,30.406,30.32,30.239,30.995,30.775,30.758000000000003,30.723000000000003,30.663,30.59,30.53,30.45,30.383000000000003
2018-08-23,30.36,30.73,30.709,30.668000000000003,30.599,30.535,30.465,30.37,30.293000000000003,31.05,30.83,30.813000000000002,30.778000000000002,30.711,30.647,30.581999999999997,30.495,30.432
2018-08-24,30.355,30.725,30.705,30.666,30.603,30.533,30.463,30.37,30.299,31.045,30.825,30.809,30.776999999999997,30.714000000000002,30.646,30.587,30.505,30.436999999999998
2018-08-27,30.345,30.715,30.694000000000003,30.653000000000002,30.585,30.515,30.448,30.355,30.275,31.035,30.815,30.799,30.767,30.701999999999998,30.635,30.572,30.485,30.421
2018-08-28,30.3,30.67,30.649,30.608,30.54,30.47,30.391,30.313000000000002,30.234,30.99,30.77,30.755,30.724,30.654,30.585,30.515,30.445,30.375999999999998
2018-08-29,30.275,30.645,30.625999999999998,30.588,30.517,30.447,30.381,30.285,30.21,30.965,30.745,30.73,30.699,30.628,30.561999999999998,30.502,30.415,30.353
2018-08-30,30.255,30.625,30.603,30.558000000000003,30.495,30.429000000000002,30.343000000000004,30.25,30.188000000000002,30.945,30.725,30.706999999999997,30.671999999999997,30.607,30.541,30.47,30.38,30.328000000000003
2018-08-31,30.295,30.665,30.643,30.599,30.535,30.47,30.383000000000003,30.288,30.226999999999997,30.985,30.765,30.747,30.712,30.648000000000003,30.583000000000002,30.506999999999998,30.418000000000003,30.369
